year,Global avg,Global 10-years MA,Riyadh avg,Riyadh 10-years MA
1848,7.98,,24.56,
1849,7.98,,24.8,
1850,7.9,,24.34,
1851,8.18,,25.03,
1852,8.1,,24.85,
1853,8.04,,24.93,
1854,8.21,,24.72,
1855,8.11,,24.92,
1856,8,,24.57,
1857,7.76,8.026,24.26,24.698
1858,8.1,8.038,25.01,24.743
1859,8.25,8.065,24.95,24.758
1860,7.96,8.071,24.94,24.818
1861,7.85,8.038,24.13,24.728
1862,7.56,7.984,23.77,24.62
1863,8.11,7.991,24.28,24.555
1864,7.98,7.968,25.03,24.586
1865,8.18,7.975,25.23,24.617
1866,8.29,8.004,24.92,24.652
1867,8.44,8.072,25.22,24.748
1868,8.25,8.087,25,24.747
1869,8.43,8.105,25.3,24.782
1870,8.2,8.129,25.02,24.79
1871,8.12,8.156,24.73,24.85
1872,8.19,8.219,24.87,24.96
1873,8.35,8.243,25.24,25.056
1874,8.43,8.288,24.98,25.051
1875,7.86,8.256,24.43,24.971
1876,8.08,8.235,24.89,24.968
1877,8.54,8.245,25.47,24.993
1878,8.83,8.303,25.51,25.044
1879,8.17,8.277,25.24,25.038
1880,8.12,8.269,24.8,25.016
1881,8.27,8.284,25.63,25.106
1882,8.13,8.278,24.66,25.085
1883,7.98,8.241,25.19,25.08
1884,7.77,8.175,24.8,25.062
1885,7.92,8.181,24.98,25.117
1886,7.95,8.168,24.98,25.126
1887,7.91,8.105,24.81,25.06
1888,8.09,8.031,25.13,25.022
1889,8.32,8.046,25.52,25.05
1890,7.97,8.031,25.07,25.077
1891,8.02,8.006,25.39,25.053
1892,8.07,8,25.22,25.109
1893,8.06,8.008,25.19,25.109
1894,8.16,8.047,24.66,25.095
1895,8.15,8.07,24.69,25.066
1896,8.21,8.096,24.88,25.056
1897,8.29,8.134,24.86,25.061
1898,8.18,8.143,24.88,25.036
1899,8.4,8.151,25.12,24.996
1900,8.5,8.204,25.29,25.018
1901,8.54,8.256,25.55,25.034
1902,8.3,8.279,25.25,25.037
1903,8.22,8.295,24.64,24.982
1904,8.09,8.288,25.07,25.023
1905,8.23,8.296,24.87,25.041
1906,8.38,8.313,24.85,25.038
1907,7.95,8.279,24.44,24.996
1908,8.19,8.28,24.95,25.003
1909,8.18,8.258,25.57,25.048
1910,8.22,8.23,24.75,24.994
1911,8.18,8.194,24.24,24.863
1912,8.17,8.181,24.96,24.834
1913,8.3,8.189,24.63,24.833
1914,8.59,8.239,24.94,24.82
1915,8.59,8.275,25.38,24.871
1916,8.23,8.26,24.85,24.871
1917,8.02,8.267,25.03,24.93
1918,8.13,8.261,24.66,24.901
1919,8.38,8.281,25.39,24.883
1920,8.36,8.295,24.94,24.902
1921,8.57,8.334,24.84,24.962
1922,8.41,8.358,25.35,25.001
1923,8.42,8.37,25.1,25.048
1924,8.51,8.362,25.69,25.123
1925,8.53,8.356,25,25.085
1926,8.73,8.406,25.19,25.119
1927,8.52,8.456,25.29,25.145
1928,8.63,8.506,25.39,25.218
1929,8.24,8.492,25.36,25.215
1930,8.63,8.519,25.39,25.26
1931,8.72,8.534,25.38,25.314
1932,8.71,8.564,24.96,25.275
1933,8.34,8.556,24.67,25.232
1934,8.63,8.568,24.97,25.16
1935,8.52,8.567,25.61,25.221
1936,8.55,8.549,25.15,25.217
1937,8.7,8.567,25.08,25.196
1938,8.86,8.59,25.11,25.168
1939,8.76,8.642,25.16,25.148
1940,8.76,8.655,25.51,25.16
1941,8.77,8.66,25.37,25.159
1942,8.73,8.662,25.49,25.212
1943,8.76,8.704,24.96,25.241
1944,8.85,8.726,25.6,25.304
1945,8.58,8.732,25.3,25.273
1946,8.68,8.745,25.49,25.307
1947,8.8,8.755,26,25.399
1948,8.75,8.744,24.85,25.373
1949,8.59,8.727,24.82,25.339
1950,8.37,8.688,24.98,25.286
1951,8.63,8.674,26.1,25.359
1952,8.64,8.665,25.72,25.382
1953,8.87,8.676,25.51,25.437
1954,8.56,8.647,25.8,25.457
1955,8.63,8.652,25.33,25.46
1956,8.28,8.612,25.02,25.413
1957,8.73,8.605,24.69,25.282
1958,8.77,8.607,25.64,25.361
1959,8.73,8.621,24.14,25.293
1960,8.58,8.642,25.67,25.362
1961,8.8,8.659,25.12,25.264
1962,8.75,8.67,26.1,25.302
1963,8.86,8.669,25.54,25.305
1964,8.41,8.654,25.14,25.239
1965,8.53,8.644,25.59,25.265
1966,8.6,8.676,26.16,25.379
1967,8.7,8.673,24.87,25.397
1968,8.52,8.648,25.21,25.354
1969,8.6,8.635,26.05,25.545
1970,8.7,8.647,25.84,25.562
1971,8.6,8.627,24.93,25.543
1972,8.5,8.602,24.74,25.407
1973,8.95,8.611,25.6,25.413
1974,8.47,8.617,25.4,25.439
1975,8.74,8.638,25.04,25.384
1976,8.35,8.613,24.97,25.265
1977,8.85,8.628,25.99,25.377
1978,8.69,8.645,25.95,25.451
1979,8.73,8.658,26.2,25.466
1980,8.98,8.686,25.83,25.465
1981,9.17,8.743,25.95,25.567
1982,8.64,8.757,24.62,25.555
1983,9.03,8.765,24.85,25.48
1984,8.69,8.787,25.05,25.445
1985,8.66,8.779,25.3,25.471
1986,8.83,8.827,25.36,25.51
1987,8.99,8.841,26.37,25.548
1988,9.2,8.892,25.99,25.552
1989,8.92,8.911,25.05,25.437
1990,9.23,8.936,25.7,25.424
1991,9.18,8.937,25.43,25.372
1992,8.84,8.957,24.37,25.347
1993,8.87,8.941,25.42,25.404
1994,9.04,8.976,26.08,25.507
1995,9.35,9.045,25.64,25.541
1996,9.04,9.066,26.28,25.633
1997,9.2,9.087,25.49,25.545
1998,9.52,9.119,26.73,25.619
1999,9.29,9.156,26.92,25.806
2000,9.2,9.153,26.55,25.891
2001,9.41,9.176,26.67,26.015
2002,9.57,9.249,26.44,26.222
2003,9.53,9.315,26.62,26.342
2004,9.32,9.343,26.2,26.354
2005,9.7,9.378,26.27,26.417
2006,9.53,9.427,26.24,26.413
2007,9.73,9.48,26.49,26.513
2008,9.43,9.471,26.21,26.461
2009,9.51,9.493,26.71,26.44
2010,9.7,9.543,27.37,26.522
2011,9.52,9.554,26.4,26.495
2012,9.51,9.548,26.83,26.534
2013,9.61,9.556,27.78,26.65
